Name,Order,Team,_id,imageURL,owner,playerID,price
Ambati Rayudu,114,Chennai Super Kings,6237432cbc98f09d4442cd1f,https://www.cricket.com.au/-/media/Players/Men/International/India/ambati-tayudu-ind.ashx,Undrafted,282,0
Srikar Bharat,123,Delhi Capitals,6237432cbc98f09d4442cd28,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,2801,0
Mandeep Singh,132,Mumbai Indians,6237432cbc98f09d4442cd31,https://iplstatic.s3.amazonaws.com/players/284/72.png,Undrafted,3056,0
Karun Nair,138,Rajasthan Royals,6237432cbc98f09d4442cd37,https://www.cricket.com.au/-/media/Players/Men/International/India/IND_Nair.ashx,Undrafted,2912,0
Anuj Rawat,144,Royal Challengers Bangalore,6237432cbc98f09d4442cd3d,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,9921,0
Riyan Parag,152,Rajasthan Royals,6237432cbc98f09d4442cd45,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,4922,0
Abdul Samad,153,Sunrisers Hyderabad,6237432cbc98f09d4442cd46,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,9927,0
Narayan Jagadeesan,158,Chennai Super Kings,6237432cbc98f09d4442cd4b,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,3326,0
Vishnu Vinod,160,Sunrisers Hyderabad,6237432cbc98f09d4442cd4d,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,3146,0
Suyash Prabhudessai,165,Royal Challengers Bangalore,6237432cbc98f09d4442cd52,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,26030,0
Gurkeerat Singh Mann,169,Gujarat Titans,6237432cbc98f09d4442cd56,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,Undrafted,2951,0
Virat Kohli,6,Royal Challengers Bangalore,6237432cbc98f09d4442ccb3,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/Virat-Kohli-CWC19.ashx,Tim,46,8
Shikhar Dhawan,15,Punjab Lions,6237432cbc98f09d4442ccbc,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/Shikhar-Dhawan-CWC19.ashx,Stark,285,7
